X,Y,lat,lon,population_density,road_density,time,flood_prob,risk_class,dist2,Slope_UTM,TWI_UTM,Flowlog_UT,RiverDist_,RiverDC_UT,DEMC_UTM,population_density_static,road_density_static,lat_static,lon_static,flood_mask,cell_area_m2,pop_cell,road_cell
562260.237380779,2078398.98843132,18.79636156498369,105.590823442829,0.0,0.00629,2026-01-09 03:00:00,0.0232558139534883,Thấp,1.2566363802710574e-05,2.02511,7.28341,0.45801,92.17072,22.10048,5.0,0.0,0.00629,18.79636156498369,105.59082344282899,0,5.703903512956427,0.0,0.03587755309649592
562238.417539989,2078276.79745223,18.7952579311443,105.59061253875603,0.0,0.00783,2026-01-09 03:00:00,0.215199034576417,Thấp,7.081843557319009e-06,1.18552,10.82266,0.0,170.56956,21.79152,2.0,0.0,0.00783,18.7952579311443,105.59061253875603,0,5.703903512956427,0.0,0.04466156450644883
562233.144796076,2078148.06160068,18.79409465167792,105.59055844817954,0.29365,0.00935,2026-01-09 03:00:00,0.0,Thấp,4.729197978362869e-06,1.00439,5.40305,0.31999,135.17033,18.30427,8.0,0.29365,0.00935,18.79409465167792,105.59055844817954,0,5.703903512956427,1.6749512665796549,0.0533314978461426
562229.688318353,2077952.87643421,18.792330788181008,105.590519499587,1.60563,0.01118,2026-01-09 03:00:00,0.0064102564102564,Thấp,6.5161207557950295e-06,0.99572,6.70642,0.41389,88.9582,11.0922,6.0,1.60563,0.01118,18.792330788181008,105.590519499587,0,5.703903512956427,9.158358597508228,0.06376964127485286
561747.985438937,2078066.80128763,18.7933747722552,105.5859521898402,0.12049,0.00619,2026-01-09 03:00:00,0.0,Thấp,6.1877749471464504e-06,2.37108,6.43266,0.41242,68.22783,23.57718,5.0,0.12049,0.00619,18.7933747722552,105.58595218984019,0,5.703903512956427,0.6872633342761199,0.035307162745200286
561833.364669652,2078363.09258948,18.796049933865447,105.5867716341327,0.0,0.00722,2026-01-09 03:00:00,0.1658880957305944,Thấp,7.895015655518651e-06,0.9619,6.21933,0.30103,32.3633,25.07545,3.0,0.0,0.00722,18.796049933865447,105.5867716341327,0,5.703903512956427,0.0,0.0411821833635454
561832.580473246,2078338.08442646,18.79582394828865,105.58676340968776,0.0,0.00728,2026-01-09 03:00:00,0.0296660703637447,Thấp,6.940942292366242e-06,0.0,0.0,0.0,38.89584,25.14364,3.0,0.0,0.00728,18.79582394828865,105.58676340968776,0,5.703903512956427,0.0,0.04152441757432279
561813.651542752,2077980.42506522,18.792592198542778,105.5865725952743,0.78166,0.00759,2026-01-09 03:00:00,0.045169946332737,Thấp,4.749816350942316e-06,0.74425,7.48854,0.55753,167.47118,18.27507,5.0,0.78166,0.00759,18.792592198542778,105.5865725952743,0,5.703903512956427,4.458513219937521,0.043292627663339286
561805.840496814,2078102.77601812,18.79369816716118,105.58650230494736,0.13043,0.00698,2026-01-09 03:00:00,0.0,Thấp,3.639016289410402e-06,0.0,0.0,0.0,53.93883,22.71409,6.0,0.13043,0.00698,18.79369816716118,105.58650230494735,0,5.703903512956427,0.7439601351949068,0.039813246520435865
561803.458520226,2078336.68310898,18.795812152249045,105.58648702228886,0.0,0.00699,2026-01-09 03:00:00,0.0296660703637447,Thấp,7.878406890338124e-06,0.0,0.0,0.0,44.4791,24.64576,3.0,0.0,0.00699,18.795812152249045,105.58648702228886,0,5.703903512956427,0.0,0.039870285555565425
